City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Hilo,19.7297,-155.09,76.24,85,20,4.61,US,few clouds
80,Hobart,-42.8794,147.3294,52.05,87,40,0.0,AU,scattered clouds
81,Nikolskoye,59.7035,30.7861,31.89,97,100,6.73,RU,overcast clouds
82,Bluff,-46.6,168.3333,50.95,70,100,14.2,NZ,overcast clouds
83,Saint-Philippe,-21.3585,55.7679,78.39,79,55,13.49,RE,broken clouds
84,Ancud,-41.8697,-73.8203,60.82,60,100,7.96,CL,overcast clouds
85,Novyy Urengoy,66.0833,76.6333,-19.01,100,100,5.01,RU,overcast clouds
86,Selenduma,50.9131,106.2406,-1.89,95,100,3.65,RU,overcast clouds
87,Sharlyk,52.9167,54.75,7.54,99,87,7.61,RU,overcast clouds
88,Atuona,-9.8,-139.0333,78.33,78,100,17.87,PF,overcast clouds
89,Yushu,44.8,126.5333,-1.37,87,4,5.48,CN,clear sky
90,Salalah,17.0151,54.0924,80.69,32,20,13.8,OM,few clouds
91,Laguna,38.421,-121.4238,44.06,88,100,1.01,US,mist
92,Gull Lake,50.1001,-108.4847,-5.17,94,100,13.89,CA,overcast clouds
93,Gwadar,25.1216,62.3254,71.55,32,0,10.36,PK,clear sky
94,Chokurdakh,70.6333,147.9167,-7.89,100,98,2.77,RU,overcast clouds
95,Half Moon Bay,37.4636,-122.4286,51.67,87,0,6.91,US,mist
96,Ust-Nera,64.5667,143.2,-2.67,100,100,3.11,RU,overcast clouds
97,Sechura,-5.5569,-80.8222,79.21,59,95,16.33,PE,overcast clouds
98,Tiksi,71.6872,128.8694,-14.15,99,57,5.59,RU,broken clouds
99,Thompson,55.7435,-97.8558,-12.84,70,100,9.22,CA,overcast clouds
100,Rochefort,45.9167,-1.0,55.92,85,100,8.01,FR,overcast clouds
101,Nenjiang,49.1833,125.2167,-30.59,100,62,0.94,CN,broken clouds
102,Rameshki,57.3439,36.0453,28.13,92,100,8.81,RU,overcast clouds
103,Sargur,11.9833,76.4167,63.36,80,32,2.98,IN,scattered clouds
104,Hihya,30.6713,31.588,59.09,78,29,7.18,EG,scattered clouds
105,Talnakh,69.4865,88.3972,-23.82,100,100,2.64,RU,overcast clouds
106,Tabou,4.423,-7.3528,80.28,77,11,7.43,CI,few clouds
107,Vardo,70.3705,31.1107,24.78,80,75,13.8,NO,broken clouds
108,Ranong,9.9658,98.6348,75.15,77,83,9.95,TH,broken clouds
109,Takoradi,4.8845,-1.7554,80.31,79,61,9.17,GH,broken clouds
110,Faya,18.3851,42.4509,55.51,59,0,2.86,SA,clear sky
111,Longyearbyen,78.2186,15.6401,13.84,73,75,6.91,SJ,broken clouds
112,Escarcega,18.6089,-90.7454,88.93,38,12,5.95,MX,few clouds
113,Dikson,73.5069,80.5464,-18.53,97,71,1.14,RU,broken clouds
114,Yatou,37.15,122.3833,25.47,71,1,0.29,CN,clear sky
115,Lakes Entrance,-37.8811,147.981,46.17,90,22,4.03,AU,few clouds
116,Toora-Khem,52.4675,96.11,-6.72,94,100,2.62,RU,overcast clouds
117,Saint George,37.1041,-113.5841,42.44,43,0,1.99,US,clear sky
118,Jamestown,42.097,-79.2353,29.55,95,100,10.36,US,overcast clouds
119,Russell,32.3502,-85.1999,55.4,32,0,8.05,US,clear sky
120,Mar Del Plata,-38.0023,-57.5575,83.82,81,0,21.0,AR,clear sky
121,Severomuysk,56.1481,113.4267,-20.42,98,100,4.52,RU,overcast clouds
122,Cape Town,-33.9258,18.4232,67.1,59,0,17.27,ZA,clear sky
123,Qaanaaq,77.484,-69.3632,5.67,93,94,3.56,GL,overcast clouds
124,Vao,-22.6667,167.4833,76.41,81,100,14.81,NC,overcast clouds
125,Kruisfontein,-34.0033,24.7314,65.88,74,99,16.35,ZA,overcast clouds
126,Saint Paul,44.9444,-93.0933,13.28,81,100,6.91,US,light snow
127,Kidal,18.4411,1.4078,73.96,14,0,10.45,ML,clear sky
128,Ponta Do Sol,32.6667,-17.1,72.01,94,100,10.56,PT,light rain
129,Konstantinovo,54.6628,29.2699,8.53,81,75,10.76,BY,broken clouds
130,Corbelia,-24.7989,-53.3067,74.55,77,33,1.1,BR,scattered clouds
131,Codrington,-38.2667,141.9667,46.72,86,15,9.73,AU,few clouds
132,Cidreira,-30.1811,-50.2056,68.76,90,100,18.99,BR,overcast clouds
133,Kapit,2.0167,112.9333,73.51,99,100,0.43,MY,overcast clouds
134,Dakar,14.6937,-17.4441,86.88,61,0,9.22,SN,clear sky
135,El Tigre,8.8875,-64.2454,81.64,58,100,11.83,VE,overcast clouds
136,Kusu,33.2831,131.1514,26.02,87,36,3.91,JP,scattered clouds
137,Qaqortoq,60.7167,-46.0333,8.92,63,16,8.28,GL,few clouds
138,Paredon,16.0333,-93.8667,86.34,58,90,8.21,MX,overcast clouds
139,Jiangkou,25.4872,119.1986,48.04,79,52,11.05,CN,broken clouds
140,Lata,40.1629,-8.3327,60.93,88,100,11.52,PT,light rain
141,Tuktoyaktuk,69.4541,-133.0374,-23.8,76,20,6.91,CA,few clouds
142,Pevek,69.7008,170.3133,18.48,61,1,9.04,RU,clear sky
143,Saint-Pierre,-21.3393,55.4781,78.48,69,0,2.3,RE,clear sky
144,Zhigansk,66.7697,123.3711,-26.18,92,97,15.61,RU,overcast clouds
145,Lagoa,39.05,-27.9833,60.96,81,0,28.5,PT,light rain
146,Nouakchott,18.0858,-15.9785,89.53,27,0,11.39,MR,clear sky
147,Torbay,47.6666,-52.7314,37.58,97,100,25.32,CA,light rain
148,Vostok,46.4856,135.8833,-17.09,98,100,4.47,RU,overcast clouds
149,Broken Hill,-31.95,141.4333,68.74,25,100,16.51,AU,overcast clouds
150,Port Blair,11.6667,92.75,80.64,74,40,5.75,IN,haze
151,Cayenne,4.9333,-52.3333,78.84,94,75,3.44,GF,light rain
152,Banjar,-8.19,114.9675,75.61,86,85,3.87,ID,overcast clouds
153,Wana,32.2989,69.5725,47.43,42,1,3.71,PK,clear sky
154,Zeya,53.75,127.2667,-27.22,95,6,2.89,RU,clear sky
155,Tiarei,-17.5333,-149.3333,82.42,77,90,9.51,PF,overcast clouds
156,Port Elizabeth,-33.918,25.5701,68.29,75,100,16.11,ZA,overcast clouds
157,Zhangye,38.9342,100.4517,12.31,82,98,3.56,CN,overcast clouds
158,Gazli,40.1333,63.45,40.33,60,0,6.6,UZ,clear sky
159,Namibe,-15.1961,12.1522,69.94,82,33,8.3,AO,scattered clouds
160,Srednekolymsk,67.45,153.6833,-6.72,99,99,2.04,RU,overcast clouds
161,Saint-Denis,48.9167,2.3333,53.76,75,0,12.66,FR,clear sky
162,Huntsville,34.7304,-86.5861,45.27,51,0,5.75,US,clear sky
163,Baykit,61.67,96.37,-26.93,100,86,3.18,RU,overcast clouds
164,Arraial Do Cabo,-22.9661,-42.0278,75.06,83,100,8.05,BR,light intensity drizzle
165,Upernavik,72.7868,-56.1549,26.02,68,100,8.23,GL,overcast clouds
166,Yorkton,51.2167,-102.4677,-13.16,77,100,4.61,CA,overcast clouds
167,Ust-Kan,50.9276,84.761,16.88,93,100,5.21,RU,light snow
168,Santa Fe,-31.6333,-60.7,93.97,32,0,11.01,AR,light rain
169,Norman Wells,65.282,-126.8329,-32.76,68,40,4.61,CA,scattered clouds
170,Acajutla,13.5928,-89.8275,86.29,53,1,7.96,SV,clear sky
171,Lasa,46.6166,10.7002,22.69,59,100,1.66,IT,overcast clouds
172,Talwandi Bhai,30.85,74.9333,53.38,35,9,2.77,IN,clear sky
173,Gamba,-2.65,10.0,77.54,88,85,6.24,GA,overcast clouds
174,Karasjok,69.4719,25.5112,-2.61,100,73,2.13,NO,broken clouds
175,Quang Ngai,15.1167,108.8,65.28,90,100,7.0,VN,overcast clouds
176,Bartoszyce,54.2535,20.8082,26.19,86,100,16.6,PL,light snow
177,Chimoio,-19.1164,33.4833,71.46,100,75,0.98,MZ,moderate rain
178,Te Anau,-45.4167,167.7167,47.7,78,16,2.68,NZ,few clouds
