City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
498,Makakilo City,US,70.12,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
499,Vaitape,PF,79.23,-16.5167,-151.75,Oa Oa Lodge
504,Cangucu,BR,72.61,-31.395,-52.6756,Hotel Brasil
507,Ondjiva,AO,80.92,-17.0667,15.7333,Águia Verde Hotel
509,Bodden Town,KY,87.8,19.2833,-81.25,Turtle Nest Inn
511,Ternate,ID,79.59,0.8,127.4,Boulivard ternate
517,Limbang,MY,78.91,4.75,115.0,Comfort Hotel
524,Wajir,KE,83.7,1.7471,40.0573,Ngamia Club
526,Soubre,CI,80.37,5.7856,-6.6083,Hôtel Campement
529,Padang,ID,76.78,-0.9492,100.3543,losmen Surya
533,Puerto Lempira,HN,86.14,15.2667,-83.7667,Hotel Samaritano
539,Tomatlan,MX,86.61,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
548,Teluk Nibung,ID,75.38,3.001,99.8164,Hotel Bengawan
550,Vila Velha,BR,73.35,-20.3297,-40.2925,Hotel Prainha
552,Sotouboua,TG,80.74,8.5667,0.9833,Verger
557,Alta Floresta,BR,74.41,-9.8756,-56.0861,Villas Hotel
561,Bajil,YE,77.49,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
562,Tamandare,BR,82.04,-8.7597,-35.1047,Pousada Baia dos Corais
567,Boa Vista,BR,85.98,2.8197,-60.6733,Aipana Plaza Hotel
577,San Cristobal,VE,81.77,7.7669,-72.225,Terra Sur
580,Sinnamary,GF,74.8,5.3833,-52.95,Hôtel du fleuve
581,Tanete,ID,74.52,-3.9443,119.7848,Hotel grand Sidny
586,Tocopilla,CL,73.04,-22.092,-70.1979,hotel Isidora
588,Santa Rosa,PH,79.11,14.3122,121.1114,JARS RESORT
591,The Valley,AI,83.82,18.217,-63.0578,CeBlue
594,Varkkallai,IN,80.38,8.7341,76.7067,The Gateway Hotel
603,Maceio,BR,85.44,-9.6658,-35.7353,Maceió Hostel e Pousada
609,Hervey Bay,AU,71.33,-25.2986,152.8535,Hervey Bay Hotel
618,Phan Thiet,VN,71.98,10.9333,108.1,Khách sạn Cà Ty
620,Patos De Minas,BR,75.2,-18.5789,-46.5181,Gálatas Central Hotel
625,Sao Filipe,CV,78.75,14.8961,-24.4956,Bela Vista
627,Santa Maria,BR,82.38,-29.6842,-53.8069,Hotel Morotin
631,Huarmey,PE,75.56,-10.0681,-78.1522,Hostal Santa Rosa
633,Port Augusta,AU,75.13,-32.5,137.7667,Hotel Commonwealth
634,Oranjestad,AW,84.9,12.524,-70.027,Hotel California
639,Diego De Almagro,CL,84.33,-26.3667,-70.05,Residencial Hambyll
640,Abu Dhabi,AE,71.96,24.4667,54.3667,Marriott Downtown Abu-Dhabi
646,Natitingou,BJ,75.85,10.3042,1.3796,CPNO
653,Tefe,BR,82.45,-3.3542,-64.7114,Hotel Montecarlo
664,Kisangani,CD,71.08,0.5167,25.2,Le Chalet
667,Tupaciguara,BR,72.64,-18.5922,-48.705,Macauba
670,Gabu,GW,84.33,12.2833,-14.2167,HOTEL VISIOM
675,Caraballeda,VE,88.38,10.6112,-66.8522,Hotel Belmar
681,Antofagasta,CL,73.13,-23.65,-70.4,Hotel Colón
